No,キー,組織,学校,都道府県,市区町村,校種
79,asahinishi-e.edumap.jp,16:川口市立朝日西小学校,166:川口市立朝日西小学校,11:埼玉県,112038:川口市,小学校
80,kahoku-jh-kahoku.edumap.jp,18:河北町教育委員会,43:河北中学校,06:山形県,063215:河北町,中学校
81,nishizato-kahoku.edumap.jp,18:河北町教育委員会,37:西里小学校,06:山形県,063215:河北町,小学校
82,mizonobe-kahoku.edumap.jp,18:河北町教育委員会,38:溝延小学校,06:山形県,063215:河北町,小学校
83,yachichubu-kahoku.edumap.jp,18:河北町教育委員会,39:谷地中部小学校,06:山形県,063215:河北町,小学校
84,yachinanbu-kahoku.edumap.jp,18:河北町教育委員会,40:谷地南部小学校,06:山形県,063215:河北町,小学校
85,yachiseibu-kahoku.edumap.jp,18:河北町教育委員会,41:谷地西部小学校,06:山形県,063215:河北町,小学校
86,kitayachi-kahoku.edumap.jp,18:河北町教育委員会,42:北谷地小学校,06:山形県,063215:河北町,小学校
87,sch-kawaguchi-sakuracho.edumap.jp,19:川口市立桜町小学校,52:川口市立桜町小学校,11:埼玉県,112038:川口市,小学校
88,iruka-hoikuen-nagasaki.edumap.jp,20:小規模保育園いるか,36:小規模保育園いるか,42:長崎県,422053:大村市,保育園
89,oyama-j.edumap.jp,21:立山町教育委員会,71:雄山中学校,16:富山県,163236:立山町,中学校
90,tateyamahokubu-e.edumap.jp,21:立山町教育委員会,65:立山北部小学校,16:富山県,163236:立山町,小学校
91,rita-el-school.edumap.jp,21:立山町教育委員会,66:利田小学校,16:富山県,163236:立山町,小学校
92,takano-e.edumap.jp,21:立山町教育委員会,67:高野小学校,16:富山県,163236:立山町,小学校
93,tateyama-chuo-e.edumap.jp,21:立山町教育委員会,68:立山中央小学校,16:富山県,163236:立山町,小学校
94,kamagafuchi-e.edumap.jp,21:立山町教育委員会,69:釜ヶ渕小学校,16:富山県,163236:立山町,小学校
95,tateyama-e.edumap.jp,21:立山町教育委員会,70:立山小学校,16:富山県,163236:立山町,小学校
